LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,0.038284494471512255,0.009264741997193189,4.132278532848352,3.591847890938027e-05
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,0.6469042425582602,0.15800051753269526,4.094317238045129,4.2341424739467115e-05
Progress_Rate,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,39.08035669667728,14.564196582633926,2.6833170285049075,0.00728958515658551
gov_cap,~~,gov_cap,0.055949566832564274,0.018917800097235534,2.957509147048377,0.0031013554728185344
recovery_outcome,~~,recovery_outcome,1.5648180798146291e-34,3.0118958414371387e-05,5.1954586421334655e-30,1.0
Progress_Rate,~~,Progress_Rate,7.132279371447822e-05,3.048948298394752e-05,2.339258799920298,0.01932204359032852
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.038122294314147695,0.01322969422846732,2.881570326034863,0.003956989206639783
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.036032971088631884,0.007922798819948817,4.548010356309495,5.415547123854836e-06
Spending_CV,~~,Spending_CV,0.6590352757841288,0.12315518933026044,5.351258679092023,8.734455936298957e-08
